Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/otlp.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/otlp.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/otlp.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/otlp.eda.nokia.com/v1alpha1/clustermetricexports,DELETE,com.nokia.eda.otlp.v1alpha1.ClusterMetricExportList,,false,false,false
/apps/otlp.eda.nokia.com/v1alpha1/clustermetricexports,GET,com.nokia.eda.otlp.v1alpha1.ClusterMetricExportList,cluster_metric_export_list,true,true,false
/apps/otlp.eda.nokia.com/v1alpha1/clustermetricexports,POST,com.nokia.eda.otlp.v1alpha1.ClusterMetricExport,cluster_metric_export,true,false,true
/apps/otlp.eda.nokia.com/v1alpha1/clustermetricexports/_deleted,GET,com.nokia.eda.otlp.v1alpha1.ClusterMetricExport_DeletedResources,,false,false,false
/apps/otlp.eda.nokia.com/v1alpha1/clustermetricexports/{name},DELETE,Status,cluster_metric_export,true,false,true
/apps/otlp.eda.nokia.com/v1alpha1/clustermetricexports/{name},GET,com.nokia.eda.otlp.v1alpha1.ClusterMetricExport,cluster_metric_export,true,true,true
/apps/otlp.eda.nokia.com/v1alpha1/clustermetricexports/{name},PATCH,Patch,,false,false,false
/apps/otlp.eda.nokia.com/v1alpha1/clustermetricexports/{name},PUT,com.nokia.eda.otlp.v1alpha1.ClusterMetricExport,cluster_metric_export,true,false,true
/apps/otlp.eda.nokia.com/v1alpha1/clustermetricexports/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/otlp.eda.nokia.com/v1alpha1/clustermetricexports/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/otlp.eda.nokia.com/v1alpha1/clusterreceivers,DELETE,com.nokia.eda.otlp.v1alpha1.ClusterReceiverList,,false,false,false
/apps/otlp.eda.nokia.com/v1alpha1/clusterreceivers,GET,com.nokia.eda.otlp.v1alpha1.ClusterReceiverList,cluster_receiver_list,true,true,false
